"","Fiscal.Year","Customer","SubCustomer","SubCustomer.component","SubCustomer.sum","SubCustomer.detail","PlatformPortfolio","PlatformPortfolio.sum","ProductServiceOrRnDarea","ServicesCategory.sum","ProductOrServiceCode","ProductOrServiceCodeText","Obligation.2014"
"1",2011-01-01,"Defense","DLA","DLA","Other DoD","DLA","Facilities and Construction","Facilities and Construction","Other","Products (All)","5680","MISC CONTRUCT MATERIALS",0.00468299412505245
"2",2010-01-01,"Defense","DLA","DLA","Other DoD","DLA","Facilities and Construction","Facilities and Construction","Other","Products (All)","5680","MISC CONTRUCT MATERIALS",0.000988631792896876
"3",2012-01-01,"Defense","DLA","DLA","Other DoD","DLA","Land Vehicles","Land Vehicles","Engines & Power Plants","Products (All)","2990","MISC ENGINE ACCESSORIES - NONAIR",0.000810023941921532
"4",2009-01-01,"DHS","Other DHS","Other DHS","Other DHS","Other DHS","Other Products","Other","Other","Products (All)","6910","TRAINING AIDS",1.24601645377787e-05
"5",2007-01-01,"Defense","Navy","Navy","Navy","Navy","Weapons and Ammunition","Weapons and Ammunition","Launchers & Munitions","Products (All)","1385","SURFACE EXPLOSIVE ORD DISPOSAL TOOL",0.00103000448984173
"6",2006-01-01,"Defense","Air Force","Air Force","Air Force","Air Force","Aircraft and Drones","Aircraft and Drones","Aircraft","Products (All)","1730","AIRCRAFT GROUND SERVICING EQUIPMENT",7.06889400921659e-05
"7",2004-01-01,"Defense","Army","Army","Army","Army","Facilities and Construction","Facilities and Construction","Other","Products (All)","7110","OFFICE FURNITURE",0.00633355733662145
"8",2012-01-01,"Defense","DLA","DLA","Other DoD","DLA","Electronics and Communications","Electronics and Communications","Electronics & Communications","Products (All)","6220","ELEC VEHICULAR LIGHTS & FIXTURES",0.00308559464524766
"9",2010-01-01,"State and IAP","State","State","State","State","Facilities and Construction","Facilities and Construction","FRS&C","Services (Non-R&D)","Z299","MAINT, REP/ALTER/ALL OTHER",0.000384092608044502
"10",2014-01-01,"Defense","DLA","DLA","Other DoD","DLA","Electronics and Communications","Electronics and Communications","Electronics & Communications","Products (All)","5998","ELE ASSEMB-BDS CARDS-ASSOC HARDWARE",0.00118683554
"11",2011-01-01,"Defense","Army","Army","Army","Army","Facilities and Construction","Facilities and Construction","Other","Products (All)","7110","OFFICE FURNITURE",0.00756279163869073
"12",2011-01-01,"Other Agencies","Interior","Interior","Interior","Interior","Facilities and Construction","Facilities and Construction","Other","Products (All)","6650","OPTICAL INSTRUMENTS",0.000112294827947965
"13",2003-01-01,"Defense","Navy","Navy","Navy","Navy","Other Products","Other","Other","Products (All)","8145","SPECIAL SHIPPING & STORAGE CONTAIN",0.000217436416550677
"14",2012-01-01,"NASA","NASA","NASA","NASA","NASA","Other R&D and Knowledge Based","Other","PAMS","Services (Non-R&D)","U099","EDUCATION/TRAINING- OTHER",4.8590093708166e-05
"15",2006-01-01,"Defense","DLA","DLA","Other DoD","DLA","Electronics and Communications","Electronics and Communications","Engines & Power Plants","Products (All)","6130","CONVERTERS, ELECTRICAL, NONROTATING",0.000822703917050691
"16",2012-01-01,"State and IAP","State","State","State","State","Facilities and Construction","Facilities and Construction","FRS&C","Services (Non-R&D)","Z1FZ","MAINTENANCE OF OTHER RESIDENTIAL BUILDINGS",4.13492740191535e-05
"17",2005-01-01,"Defense","DLA","DLA","Other DoD","DLA","Facilities and Construction","Facilities and Construction","Other","Products (All)","5440","SCAFFOLDING EQ & CONCRETE FORMS",1.86461685138839e-05
"18",2011-01-01,"Other Agencies","Interior","Interior","Interior","Interior","Other R&D and Knowledge Based","Other","PAMS","Services (Non-R&D)","R499","OTHER PROFESSIONAL SERVICES",0.000122245237096097
"19",2011-01-01,"State and IAP","State","State","State","State","Land Vehicles","Land Vehicles","Ground Vehicles","Products (All)","2310","PASSENGER MOTOR VEHICLES",0.000152004878304658
"20",2012-01-01,"Defense","Army","Army","Army","Army","Electronics and Communications","Electronics and Communications","Electronics & Communications","Products (All)","7035","ADP SUPPORT EQUIPMENT",0.00020602203686541
"21",2005-01-01,"Other Agencies","Interior","Interior","Interior","Interior","Electronics and Communications","Electronics and Communications","Electronics & Communications","Products (All)","5820","RADIO AND TELEVISION COMMUNICATION EQUIPMENT, EXCEPT AIRBORNE",0.0027966409724705
"22",2003-01-01,"Defense","Army","Army","Army","Army","Weapons and Ammunition","Weapons and Ammunition","Launchers & Munitions","Products (All)","1240","OPTICAL SIGHTING & RANGING EQUIPMEN",0.00638067442743262
"23",2002-01-01,"Other Agencies","Justice","Justice","Justice","Justice","Facilities and Construction","Facilities and Construction","Other","Products (All)","7105","HOUSEHOLD FURNITURE",0.0173224043715847
"24",2012-01-01,"Other Agencies","Interior","Interior","Interior","Interior","Other R&D and Knowledge Based","Other","PAMS","Services (Non-R&D)","B534","SPECIAL STUDIES/ANALYSIS- WILDLIFE",0.000298822984244671
"25",2010-01-01,"State and IAP","State","State","State","State","Facilities and Construction","Facilities and Construction","PAMS","Services (Non-R&D)","C213","A/E - INSPECT - NON CONTRUCT",1.15960633290543e-05
"26",2010-01-01,"State and IAP","State","State","State","State","Land Vehicles","Land Vehicles","Ground Vehicles","Products (All)","2310","PASSENGER MOTOR VEHICLES",0.000646826979032948
"27",2005-01-01,"Defense","DLA","DLA","Other DoD","DLA","Other Products","Other","Other","Products (All)","4720","HOSE AND FLEXIBLE TUBING",0.000414271242998451
"28",2005-01-01,"Defense","Army","Army","Army","Army","Other R&D and Knowledge Based","Other","Advanced Technology Development (6.3)","R&D","AD93","OTHER DEFENSE (ADVANCED)",0.000197363842211894
"29",2009-01-01,"NASA","NASA","NASA","NASA","NASA","Facilities and Construction","Facilities and Construction","Other","Products (All)","6635","PHYSICAL PROPERTIES TEST EQ",5.94944793245291e-05
"30",2008-01-01,"Defense","DLA","DLA","Other DoD","DLA","Facilities and Construction","Facilities and Construction","Other","Products (All)","5680","MISC CONTRUCT MATERIALS",0.105857883947939
"31",2007-01-01,"Defense","DLA","DLA","Other DoD","DLA","Facilities and Construction","Facilities and Construction","Other","Products (All)","5680","MISC CONTRUCT MATERIALS",0.159099115501179
"32",2011-01-01,"Defense","DLA","DLA","Other DoD","DLA","Other Products","Other","Other","Products (All)","3110","BEARINGS, ANTIFRICTION, UNMOUNTED",0.00494260789970625
"33",2010-01-01,"State and IAP","State","State","State","State","Facilities and Construction","Facilities and Construction","FRS&C","Services (Non-R&D)","S208","HOUSEKEEPING- LANDSCAPING/GROUNDSKEEPING",5.14100128369705e-05
"34",2002-01-01,"Other Agencies","Interior","Interior","Interior","Interior","Facilities and Construction","Facilities and Construction","PAMS","Services (Non-R&D)","C219","ARCHITECT AND ENGINEERING- GENERAL: OTHER",0.00109549830861306
"35",2011-01-01,"Defense","Army","Army","Army","Army","Other R&D and Knowledge Based","Other","PAMS","Services (Non-R&D)","R414","SYSTEMS ENGINEERING SERVICES",0.00715759479647503
"36",2012-01-01,"State and IAP","State","State","State","State","Facilities and Construction","Facilities and Construction","Other","Products (All)","4510","PLUMBING FIXTURES AND ACCESSORIES",3.21545566882916e-05
"37",2003-01-01,"Defense","Army","Army","Army","Army","Electronics and Communications","Electronics and Communications","Electronics & Communications","Products (All)","5820","RADIO AND TELEVISION COMMUNICATION EQUIPMENT, EXCEPT AIRBORNE",0.0236320334050361
"38",2007-01-01,"Defense","DLA","DLA","Other DoD","DLA","Electronics and Communications","Electronics and Communications","Electronics & Communications","Products (All)","5998","ELE ASSEMB-BDS CARDS-ASSOC HARDWARE",0.00106137389157032
"39",2006-01-01,"Other Agencies","Interior","Interior","Interior","Interior","Facilities and Construction","Facilities and Construction","Other","Products (All)","7110","OFFICE FURNITURE",0.00278615329493088
"40",2012-01-01,"Defense","DLA","DLA","Other DoD","DLA","Land Vehicles","Land Vehicles","Ground Vehicles","Products (All)","2540","VEHICULAR FURNITURE AND ACCESSORIES",0.0105884013695809
"41",2014-01-01,"Defense","Army","Army","Army","Army","Other Products","Other","Clothing & Subsistence","Products (All)","6550","IN VITRO DIAGNO SUBSTANCES,REAGENTS",5.76408e-05
"42",2014-01-01,"Defense","DLA","DLA","Other DoD","DLA","Electronics and Communications","Electronics and Communications","Electronics & Communications","Products (All)","5961","SEMI CONDUCTOR DEVICES",9.64821e-05
"43",2014-01-01,"Defense","DLA","DLA","Other DoD","DLA","Electronics and Communications","Electronics and Communications","Electronics & Communications","Products (All)","5905","RESISTORS",0.00038715385
"44",2005-01-01,"Defense","Navy","Navy","Navy","Navy","Other Products","Other","Clothing & Subsistence","Products (All)","6515","MED & SURGICAL INSTRUMENTS,EQ & SUP",0.000149831962817304
